Consolidated APA-Style Results Report
=====================================

This report compiles the analysis CSV outputs into plain-text sections.

Section 1: Descriptive Statistics
=================================

6 Month Follow Adolescents

Descriptive Statistics (Adolescents)

Overall Continuous (overall)
----------------------------
Variable | Summary
wemwbs_-wemwbs_item_07 | 2.80 [1.10] - 1.00-5.00
spsi_-spsi_ppo | 5.80 [3.03] - 0.00-17.00
spsi_-spsi_ppo | 6.67 [3.00] - 0.00-18.00
spsi_-spsi_npo | 4.85 [2.97] - 0.00-14.00
spsi_-spsi_npo | 5.63 [3.16] - 0.00-18.00
spsi_-spsi_rps | 5.80 [3.33] - 0.00-17.00
spsi_-spsi_rps | 6.94 [3.29] - 0.00-16.00
spsi_-spsi_ics | 7.61 [3.78] - 0.00-20.00
spsi_-spsi_ics | 8.09 [3.22] - 1.00-18.00
spsi_-spsi_as | 7.09 [3.36] - 0.00-18.00
spsi_-spsi_as | 8.03 [3.39] - 1.00-20.00
bbscq_-bbscq_total | 23.64 [4.60] - 4.00-30.00
bbscq_-bbscq_total | 23.76 [4.49] - 8.00-30.00
bbscq_-bbscq_relation | 9.08 [2.01] - 1.00-12.00
bbscq_-bbscq_relation | 8.92 [2.19] - 1.00-12.00
bbscq_-bbscq_belonging | 6.10 [1.48] - 0.00-8.00
bbscq_-bbscq_belonging | 6.11 [1.44] - 0.00-8.00
bbscq_-bbscq_comitment | 3.62 [0.76] - 0.00-4.00
bbscq_-bbscq_comitment | 3.67 [0.77] - 0.00-4.00
bbscq_-bbscq_participation | 4.84 [1.63] - 0.00-6.00
bbscq_-bbscq_participation | 5.06 [1.45] - 0.00-6.00

In the 6_month_follow_up_adolescents dataset, continuous outcomes for domain wise analyses were summarised by gender. The table above provides N, mean, standard deviation, and range in compact APA style.

Domain wise Continuous (new_group)
----------------------------------
Variable | Summary
--- | ---
phq9a_-phq9a_total | 4.91 [3.72] - 0.00-17.00
phq9a_-phq9a_total | 6.36 [4.54] - 0.00-22.00
phq9a_-phq9a_total | 4.12 [3.57] - 0.00-19.00
phq9a_-phq9a_total | 5.45 [4.23] - 0.00-19.00
psc_-psc_total | 18.97 [8.50] - 0.00-43.00
psc_-psc_total | 22.22 [10.08] - 3.00-47.00
psc_-psc_total | 17.55 [8.49] - 4.00-48.00
psc_-psc_total | 20.21 [10.04] - 0.00-49.00
psc_-psc_int | 2.28 [1.91] - 0.00-8.00
psc_-psc_int | 3.24 [2.41] - 0.00-8.00
psc_-psc_int | 2.09 [1.93] - 0.00-8.00
psc_-psc_int | 2.71 [2.43] - 0.00-8.00
psc_-psc_ext | 3.08 [1.95] - 0.00-9.00
psc_-psc_ext | 2.85 [1.98] - 0.00-10.00
psc_-psc_ext | 3.28 [1.89] - 0.00-9.00
psc_-psc_ext | 2.77 [2.04] - 0.00-14.00
psc_-psc_attn | 2.86 [2.13] - 0.00-9.00
psc_-psc_attn | 3.64 [2.41] - 0.00-10.00
psc_-psc_attn | 2.68 [2.22] - 0.00-9.00
psc_-psc_attn | 3.34 [2.55] - 0.00-10.00
rcads_-rcads_total | 15.09 [10.76] - 0.00-54.00
rcads_-rcads_total | 19.07 [10.69] - 0.00-56.00
rcads_-rcads_total | 12.43 [9.26] - 0.00-54.00
rcads_-rcads_total | 17.79 [11.93] - 0.00-51.00
rcads_-rcads_anx_tot | 9.37 [6.77] - 0.00-30.00
rcads_-rcads_anx_tot | 12.39 [6.90] - 0.00-31.00
rcads_-rcads_anx_tot | 7.71 [5.79] - 0.00-31.00
rcads_-rcads_anx_tot | 11.39 [7.38] - 0.00-32.00
rcads_-rcads_dep_tot | 5.72 [4.61] - 0.00-24.00
rcads_-rcads_dep_tot | 6.68 [4.70] - 0.00-25.00
rcads_-rcads_dep_tot | 4.72 [4.03] - 0.00-23.00
rcads_-rcads_dep_tot | 6.39 [5.05] - 0.00-24.00
dsm5_-dsm5_total | 15.93 [12.39] - 0.00-59.00
dsm5_-dsm5_total | 18.05 [12.11] - 0.00-50.00
