Consolidated APA-Style Results Report
=====================================

This report compiles the analysis CSV outputs into plain-text sections.

Section 1: Descriptive Statistics
=================================

6 Month Follow Adolescents

Descriptive Statistics (Adolescents)

Overall Continuous (overall)
----------------------------
Variable | Summary
phq9a_-phq9a_total | 3.84 [3.36] - 0.00-13.00
phq9a_-phq9a_total | 4.97 [4.22] - 0.00-16.00
psc_-psc_total | 17.25 [9.99] - 3.00-41.00
psc_-psc_total | 16.50 [8.84] - 3.00-40.00
psc_-psc_total | 17.10 [8.10] - 8.00-41.00
psc_-psc_total | 19.05 [9.46] - 0.00-39.00
psc_-psc_int | 1.81 [2.10] - 0.00-7.00
psc_-psc_int | 2.25 [1.94] - 0.00-7.00
psc_-psc_int | 1.74 [1.86] - 0.00-7.00
psc_-psc_int | 2.42 [2.12] - 0.00-8.00
psc_-psc_ext | 3.03 [1.53] - 1.00-6.00
psc_-psc_ext | 1.71 [1.51] - 0.00-5.00
psc_-psc_ext | 3.65 [1.64] - 1.00-7.00
psc_-psc_ext | 2.55 [1.82] - 0.00-7.00
psc_-psc_attn | 3.03 [2.78] - 0.00-10.00
psc_-psc_attn | 2.61 [2.42] - 0.00-8.00
psc_-psc_attn | 2.61 [2.01] - 0.00-8.00
psc_-psc_attn | 3.37 [2.67] - 0.00-10.00
rcads_-rcads_total | 12.16 [10.24] - 0.00-49.00
rcads_-rcads_total | 13.82 [8.50] - 0.00-32.00
rcads_-rcads_total | 9.68 [8.80] - 1.00-48.00
rcads_-rcads_total | 16.73 [11.43] - 0.00-46.00
rcads_-rcads_anx_tot | 7.94 [5.99] - 0.00-25.00
rcads_-rcads_anx_tot | 9.39 [5.51] - 0.00-22.00
rcads_-rcads_anx_tot | 5.97 [5.49] - 1.00-30.00
rcads_-rcads_anx_tot | 10.90 [7.51] - 0.00-29.00
rcads_-rcads_dep_tot | 4.22 [4.94] - 0.00-24.00
rcads_-rcads_dep_tot | 4.43 [3.40] - 0.00-13.00
rcads_-rcads_dep_tot | 3.71 [3.69] - 0.00-18.00
rcads_-rcads_dep_tot | 5.83 [4.83] - 0.00-17.00
dsm5_-dsm5_total | 12.72 [13.41] - 0.00-65.00
dsm5_-dsm5_total | 11.82 [9.89] - 0.00-38.00
dsm5_-dsm5_total | 10.68 [9.63] - 0.00-43.00
dsm5_-dsm5_total | 15.40 [12.45] - 0.00-44.00
dsm5_-dsm5_I_Som_Symp | 1.75 [2.23] - 0.00-8.00
dsm5_-dsm5_I_Som_Symp | 1.93 [1.76] - 0.00-6.00
dsm5_-dsm5_I_Som_Symp | 1.55 [1.71] - 0.00-7.00
dsm5_-dsm5_I_Som_Symp | 2.10 [2.09] - 0.00-8.00
dsm5_-dsm5_II_Slp_prb | 0.84 [1.05] - 0.00-4.00
dsm5_-dsm5_II_Slp_prb | 0.39 [0.74] - 0.00-2.00
dsm5_-dsm5_II_Slp_prb | 0.65 [1.08] - 0.00-3.00
dsm5_-dsm5_II_Slp_prb | 0.90 [1.16] - 0.00-4.00
dsm5_-dsm5_III_Inattn | 0.66 [0.94] - 0.00-3.00
dsm5_-dsm5_III_Inattn | 0.82 [1.12] - 0.00-3.00
dsm5_-dsm5_III_Inattn | 0.87 [1.20] - 0.00-4.00
dsm5_-dsm5_III_Inattn | 1.12 [1.21] - 0.00-4.00
dsm5_-dsm5_IV_Dep | 1.50 [2.23] - 0.00-8.00
dsm5_-dsm5_IV_Dep | 1.82 [1.87] - 0.00-6.00
dsm5_-dsm5_IV_Dep | 1.68 [1.74] - 0.00-7.00
dsm5_-dsm5_IV_Dep | 1.88 [1.97] - 0.00-6.00
dsm5_-dsm5_V_VI_Angr_Irrit | 1.25 [1.87] - 0.00-8.00
dsm5_-dsm5_V_VI_Angr_Irrit | 1.04 [1.55] - 0.00-5.00
dsm5_-dsm5_V_VI_Angr_Irrit | 1.29 [1.87] - 0.00-8.00
dsm5_-dsm5_V_VI_Angr_Irrit | 1.85 [1.97] - 0.00-6.00
dsm5_-dsm5_VII_Mania | 1.34 [1.75] - 0.00-8.00
dsm5_-dsm5_VII_Mania | 1.18 [1.44] - 0.00-5.00
dsm5_-dsm5_VII_Mania | 1.26 [1.55] - 0.00-6.00
dsm5_-dsm5_VII_Mania | 1.60 [1.55] - 0.00-6.00
dsm5_-dsm5_VIII_Anx | 1.62 [2.21] - 0.00-10.00
dsm5_-dsm5_VIII_Anx | 1.50 [2.29] - 0.00-8.00
dsm5_-dsm5_VIII_Anx | 1.35 [1.98] - 0.00-6.00
dsm5_-dsm5_VIII_Anx | 2.48 [2.83] - 0.00-12.00
dsm5_-dsm5_IX_Psychss | 0.47 [1.22] - 0.00-5.00
dsm5_-dsm5_IX_Psychss | 0.00 [0.00] - 0.00-0.00
dsm5_-dsm5_IX_Psychss | 0.06 [0.25] - 0.00-1.00
dsm5_-dsm5_IX_Psychss | 0.27 [0.90] - 0.00-6.00
dsm5_-dsm5_X_Rpt_thts | 3.28 [3.74] - 0.00-14.00
dsm5_-dsm5_X_Rpt_thts | 3.11 [2.79] - 0.00-9.00
dsm5_-dsm5_X_Rpt_thts | 1.90 [2.36] - 0.00-9.00
dsm5_-dsm5_X_Rpt_thts | 3.18 [3.38] - 0.00-13.00
dsm5_-dsm5_XI_Sbtncd | 0.00 [0.00] - 0.00-0.00
dsm5_-dsm5_XI_Sbtncd | 0.00 [0.00] - 0.00-0.00
dsm5_-dsm5_XI_Sbtncd | 0.03 [0.18] - 0.00-1.00
dsm5_-dsm5_XI_Sbtncd | 0.00 [0.00] - 0.00-0.00
dsm5_-dsm5_XII_Suic | 0.00 [0.00] - 0.00-0.00
dsm5_-dsm5_XII_Suic | 0.04 [0.19] - 0.00-1.00
dsm5_-dsm5_XII_Suic | 0.03 [0.18] - 0.00-1.00
dsm5_-dsm5_XII_Suic | 0.02 [0.13] - 0.00-1.00
somatic_-somatic_total | 3.81 [4.43] - 0.00-20.00
somatic_-somatic_total | 4.14 [3.68] - 0.00-13.00
somatic_-somatic_total | 2.87 [3.01] - 0.00-12.00
somatic_-somatic_total | 3.80 [3.59] - 0.00-16.00
somatic_-somatic_item_01 | 0.31 [0.64] - 0.00-2.00
somatic_-somatic_item_01 | 0.29 [0.53] - 0.00-2.00
somatic_-somatic_item_01 | 0.32 [0.48] - 0.00-1.00
somatic_-somatic_item_01 | 0.52 [0.62] - 0.00-2.00
somatic_-somatic_item_02 | 0.50 [0.67] - 0.00-2.00
somatic_-somatic_item_02 | 0.43 [0.57] - 0.00-2.00
somatic_-somatic_item_02 | 0.23 [0.43] - 0.00-1.00
somatic_-somatic_item_02 | 0.48 [0.60] - 0.00-2.00
somatic_-somatic_item_03 | 0.53 [0.76] - 0.00-2.00
somatic_-somatic_item_03 | 0.89 [0.69] - 0.00-2.00
somatic_-somatic_item_03 | 0.52 [0.63] - 0.00-2.00
somatic_-somatic_item_03 | 0.83 [0.72] - 0.00-2.00
somatic_-somatic_item_04a | 0.50 [0.67] - 0.00-2.00
somatic_-somatic_item_04a | 0.46 [0.58] - 0.00-2.00
somatic_-somatic_item_04a | 0.26 [0.58] - 0.00-2.00
somatic_-somatic_item_04a | 0.40 [0.67] - 0.00-2.00
somatic_-somatic_item_04b | 0.53 [0.62] - 0.00-2.00
somatic_-somatic_item_04b | 0.54 [0.69] - 0.00-2.00
somatic_-somatic_item_04b | 0.29 [0.53] - 0.00-2.00
somatic_-somatic_item_04b | 0.47 [0.65] - 0.00-2.00
somatic_-somatic_item_04c | 0.25 [0.51] - 0.00-2.00
somatic_-somatic_item_04c | 0.18 [0.48] - 0.00-2.00
somatic_-somatic_item_04c | 0.23 [0.50] - 0.00-2.00
somatic_-somatic_item_04c | 0.27 [0.58] - 0.00-2.00
somatic_-somatic_item_04d | 0.28 [0.58] - 0.00-2.00
somatic_-somatic_item_04d | 0.36 [0.68] - 0.00-2.00
somatic_-somatic_item_04d | 0.19 [0.54] - 0.00-2.00
somatic_-somatic_item_04d | 0.25 [0.60] - 0.00-2.00
somatic_-somatic_item_04e | 0.25 [0.57] - 0.00-2.00
somatic_-somatic_item_04e | 0.32 [0.67] - 0.00-2.00
somatic_-somatic_item_04e | 0.29 [0.59] - 0.00-2.00
somatic_-somatic_item_04e | 0.17 [0.46] - 0.00-2.00
somatic_-somatic_item_04f | 0.22 [0.42] - 0.00-1.00
somatic_-somatic_item_04f | 0.36 [0.62] - 0.00-2.00
somatic_-somatic_item_04f | 0.29 [0.64] - 0.00-2.00
somatic_-somatic_item_04f | 0.25 [0.54] - 0.00-2.00
somatic_-somatic_item_04g | 0.22 [0.55] - 0.00-2.00
somatic_-somatic_item_04g | 0.14 [0.45] - 0.00-2.00
somatic_-somatic_item_04g | 0.16 [0.45] - 0.00-2.00
somatic_-somatic_item_04g | 0.12 [0.37] - 0.00-2.00
somatic_-somatic_item_04h | 0.22 [0.61] - 0.00-2.00
somatic_-somatic_item_04h | 0.18 [0.48] - 0.00-2.00
somatic_-somatic_item_04h | 0.10 [0.40] - 0.00-2.00
somatic_-somatic_item_04h | 0.05 [0.29] - 0.00-2.00
wemwbs_-wemwbs_total | 21.78 [4.92] - 9.00-31.00
wemwbs_-wemwbs_total | 23.36 [4.19] - 16.00-33.00
wemwbs_-wemwbs_total | 19.06 [5.40] - 7.00-29.00
wemwbs_-wemwbs_total | 21.47 [4.56] - 9.00-33.00
wemwbs_-wemwbs_item_01 | 3.22 [0.97] - 1.00-5.00
wemwbs_-wemwbs_item_01 | 3.61 [0.99] - 1.00-5.00
wemwbs_-wemwbs_item_01 | 3.06 [0.96] - 1.00-5.00
wemwbs_-wemwbs_item_01 | 3.45 [0.93] - 1.00-5.00
wemwbs_-wemwbs_item_02 | 3.22 [1.10] - 1.00-5.00
wemwbs_-wemwbs_item_02 | 3.46 [0.96] - 1.00-5.00
wemwbs_-wemwbs_item_02 | 2.84 [1.07] - 1.00-5.00
wemwbs_-wemwbs_item_02 | 3.13 [1.00] - 1.00-5.00
wemwbs_-wemwbs_item_03 | 3.12 [1.10] - 1.00-5.00
wemwbs_-wemwbs_item_03 | 3.57 [0.88] - 2.00-5.00
wemwbs_-wemwbs_item_03 | 2.84 [1.07] - 1.00-5.00
wemwbs_-wemwbs_item_03 | 2.98 [1.03] - 1.00-5.00
wemwbs_-wemwbs_item_04 | 3.28 [0.92] - 1.00-5.00
wemwbs_-wemwbs_item_04 | 3.36 [0.91] - 1.00-5.00
wemwbs_-wemwbs_item_04 | 2.90 [0.98] - 1.00-5.00
wemwbs_-wemwbs_item_04 | 3.02 [1.02] - 1.00-5.00
wemwbs_-wemwbs_item_05 | 3.06 [0.98] - 1.00-5.00
wemwbs_-wemwbs_item_05 | 2.89 [1.13] - 1.00-5.00
wemwbs_-wemwbs_item_05 | 2.58 [1.03] - 1.00-4.00
wemwbs_-wemwbs_item_05 | 2.85 [0.99] - 1.00-5.00
wemwbs_-wemwbs_item_06 | 2.91 [1.33] - 1.00-5.00
wemwbs_-wemwbs_item_06 | 3.14 [1.18] - 1.00-4.00
wemwbs_-wemwbs_item_06 | 2.48 [1.12] - 1.00-4.00
wemwbs_-wemwbs_item_06 | 2.98 [1.11] - 1.00-5.00
wemwbs_-wemwbs_item_07 | 2.97 [1.06] - 1.00-5.00
wemwbs_-wemwbs_item_07 | 3.32 [0.98] - 1.00-5.00
wemwbs_-wemwbs_item_07 | 2.35 [1.17] - 1.00-4.00
wemwbs_-wemwbs_item_07 | 3.05 [0.95] - 1.00-5.00
spsi_-spsi_ppo | 6.41 [3.10] - 2.00-16.00
spsi_-spsi_ppo | 7.04 [3.06] - 2.00-14.00
spsi_-spsi_ppo | 5.13 [2.97] - 0.00-12.00
spsi_-spsi_ppo | 6.32 [2.96] - 1.00-14.00
spsi_-spsi_npo | 6.00 [3.02] - 1.00-13.00
spsi_-spsi_npo | 5.32 [2.71] - 0.00-13.00
spsi_-spsi_npo | 4.16 [2.46] - 0.00-10.00
spsi_-spsi_npo | 5.15 [3.12] - 0.00-14.00
spsi_-spsi_rps | 6.34 [3.34] - 1.00-13.00
spsi_-spsi_rps | 6.79 [2.79] - 2.00-15.00
spsi_-spsi_rps | 4.26 [2.87] - 0.00-12.00
spsi_-spsi_rps | 6.40 [3.41] - 0.00-16.00
spsi_-spsi_ics | 8.16 [2.99] - 3.00-17.00
spsi_-spsi_ics | 8.00 [2.69] - 2.00-15.00
spsi_-spsi_ics | 6.39 [3.24] - 1.00-16.00
spsi_-spsi_ics | 7.13 [3.16] - 1.00-15.00
spsi_-spsi_as | 7.94 [3.65] - 2.00-16.00
spsi_-spsi_as | 8.39 [3.19] - 2.00-16.00
spsi_-spsi_as | 5.68 [3.17] - 0.00-12.00
spsi_-spsi_as | 7.12 [2.98] - 1.00-14.00
bbscq_-bbscq_total | 24.59 [4.60] - 8.00-29.00
bbscq_-bbscq_total | 26.11 [2.51] - 20.00-30.00
bbscq_-bbscq_total | 23.06 [3.55] - 14.00-29.00
bbscq_-bbscq_total | 24.33 [4.69] - 8.00-30.00
bbscq_-bbscq_relation | 9.22 [2.00] - 3.00-12.00
bbscq_-bbscq_relation | 9.86 [1.78] - 6.00-12.00
bbscq_-bbscq_relation | 8.97 [1.64] - 5.00-12.00
bbscq_-bbscq_relation | 9.10 [2.52] - 1.00-12.00
bbscq_-bbscq_belonging | 6.44 [1.19] - 4.00-8.00
bbscq_-bbscq_belonging | 6.54 [1.04] - 4.00-8.00
bbscq_-bbscq_belonging | 5.48 [1.43] - 2.00-8.00
bbscq_-bbscq_belonging | 6.20 [1.38] - 3.00-8.00
bbscq_-bbscq_comitment | 3.72 [0.68] - 1.00-4.00
bbscq_-bbscq_comitment | 3.86 [0.45] - 2.00-4.00
bbscq_-bbscq_comitment | 3.77 [0.67] - 1.00-4.00
bbscq_-bbscq_comitment | 3.90 [0.35] - 2.00-4.00
bbscq_-bbscq_participation | 5.22 [1.54] - 0.00-6.00
bbscq_-bbscq_participation | 5.86 [0.36] - 5.00-6.00
bbscq_-bbscq_participation | 4.84 [1.61] - 2.00-6.00
bbscq_-bbscq_participation | 5.13 [1.52] - 0.00-6.00

In the 9_month_endpoint_adolescents dataset, continuous outcomes for domain wise analyses were summarised by new_group. The table above provides N, mean, standard deviation, and range in compact APA style.

Overall Categorical (overall) - cgas_-cgas_response
---------------------------------------------------
Category | Summary
--- | ---
30 | 1 (0.66)
60 | 1 (0.66)
80 | 16 (10.60)
90 | 66 (43.71)
100 | 67 (44.37)

For cgas_-cgas_response in the 9_month_endpoint_adolescents dataset, the table above shows category frequencies and percentages for the overall breakdown.

Overall Categorical (group) - cgas_-cgas_response
-------------------------------------------------
Category | Summary
--- | ---
80 | 5 (8.33)
90 | 27 (45.00)
100 | 28 (46.67)
30 | 1 (1.10)
60 | 1 (1.10)
80 | 11 (12.09)
90 | 39 (42.86)
100 | 39 (42.86)

For cgas_-cgas_response in the 9_month_endpoint_adolescents dataset, the table above shows category frequencies and percentages for the group breakdown.

Overall Categorical (gender) - cgas_-cgas_response
--------------------------------------------------
Category | Summary
--- | ---
30 | 1 (1.59)
80 | 5 (7.94)
90 | 23 (36.51)
100 | 34 (53.97)
60 | 1 (1.14)
80 | 11 (12.50)
90 | 43 (48.86)
100 | 33 (37.50)

For cgas_-cgas_response in the 9_month_endpoint_adolescents dataset, the table above shows category frequencies and percentages for the gender breakdown.

Overall Categorical (new_group) - cgas_-cgas_response
-----------------------------------------------------
Category | Summary
--- | ---
80 | 3 (9.38)
90 | 13 (40.62)
100 | 16 (50.00)
80 | 2 (7.14)
90 | 14 (50.00)
100 | 12 (42.86)
30 | 1 (3.23)
80 | 2 (6.45)
90 | 10 (32.26)
100 | 18 (58.06)
60 | 1 (1.67)
80 | 9 (15.00)
90 | 29 (48.33)
100 | 21 (35.00)

For cgas_-cgas_response in the 9_month_endpoint_adolescents dataset, the table above shows category frequencies and percentages for the new_group breakdown.

Domain wise Categorical (overall) - phq9a_-phq9a_total_cat_bin
--------------------------------------------------------------
Category | Summary
--- | ---
0 | 90 (59.60)
1 | 61 (40.40)

For phq9a_-phq9a_total_cat_bin in the 9_month_endpoint_adolescents dataset, the table above shows category frequencies and percentages for the overall breakdown.

Domain wise Categorical (group) - phq9a_-phq9a_total_cat_bin
------------------------------------------------------------
Category | Summary
--- | ---
0 | 35 (58.33)
1 | 25 (41.67)
0 | 55 (60.44)
1 | 36 (39.56)

For phq9a_-phq9a_total_cat_bin in the 9_month_endpoint_adolescents dataset, the table above shows category frequencies and percentages for the group breakdown.

Domain wise Categorical (gender) - phq9a_-phq9a_total_cat_bin
-------------------------------------------------------------
Category | Summary
--- | ---
0 | 41 (65.08)
1 | 22 (34.92)
0 | 49 (55.68)
1 | 39 (44.32)

For phq9a_-phq9a_total_cat_bin in the 9_month_endpoint_adolescents dataset, the table above shows category frequencies and percentages for the gender breakdown.

Domain wise Categorical (new_group) - phq9a_-phq9a_total_cat_bin
----------------------------------------------------------------
Category | Summary
--- | ---
0 | 18 (56.25)
1 | 14 (43.75)
0 | 17 (60.71)
1 | 11 (39.29)
0 | 23 (74.19)
1 | 8 (25.81)
0 | 32 (53.33)
1 | 28 (46.67)

For phq9a_-phq9a_total_cat_bin in the 9_month_endpoint_adolescents dataset, the table above shows category frequencies and percentages for the new_group breakdown.

Domain wise Categorical (overall) - phq9a_-phq9a_total_cat
----------------------------------------------------------
Category | Summary
--- | ---
1 | 90 (59.60)
2 | 42 (27.81)
3 | 14 (9.27)
4 | 5 (3.31)

For phq9a_-phq9a_total_cat in the 9_month_endpoint_adolescents dataset, the table above shows category frequencies and percentages for the overall breakdown.

Domain wise Categorical (group) - phq9a_-phq9a_total_cat
--------------------------------------------------------
Category | Summary
--- | ---
1 | 35 (58.33)
2 | 18 (30.00)
3 | 5 (8.33)
4 | 2 (3.33)
1 | 55 (60.44)
2 | 24 (26.37)
3 | 9 (9.89)
4 | 3 (3.30)

For phq9a_-phq9a_total_cat in the 9_month_endpoint_adolescents dataset, the table above shows category frequencies and percentages for the group breakdown.

Domain wise Categorical (gender) - phq9a_-phq9a_total_cat
---------------------------------------------------------
Category | Summary
--- | ---
1 | 41 (65.08)
2 | 16 (25.40)
3 | 5 (7.94)
4 | 1 (1.59)
1 | 49 (55.68)
2 | 26 (29.55)
3 | 9 (10.23)
4 | 4 (4.55)

For phq9a_-phq9a_total_cat in the 9_month_endpoint_adolescents dataset, the table above shows category frequencies and percentages for the gender breakdown.

Domain wise Categorical (new_group) - phq9a_-phq9a_total_cat
------------------------------------------------------------
Category | Summary
--- | ---
1 | 18 (56.25)
2 | 10 (31.25)
3 | 3 (9.38)
4 | 1 (3.12)
1 | 17 (60.71)
2 | 8 (28.57)
3 | 2 (7.14)
4 | 1 (3.57)
1 | 23 (74.19)
2 | 6 (19.35)
3 | 2 (6.45)
1 | 32 (53.33)
2 | 18 (30.00)
3 | 7 (11.67)
4 | 3 (5.00)

For phq9a_-phq9a_total_cat in the 9_month_endpoint_adolescents dataset, the table above shows category frequencies and percentages for the new_group breakdown.

Domain wise Categorical (overall) - psc_-psc_total_cat
------------------------------------------------------
Category | Summary
--- | ---
0 | 127 (84.11)
1 | 24 (15.89)

For psc_-psc_total_cat in the 9_month_endpoint_adolescents dataset, the table above shows category frequencies and percentages for the overall breakdown.

Domain wise Categorical (group) - psc_-psc_total_cat
----------------------------------------------------
Category | Summary
--- | ---
0 | 50 (83.33)
1 | 10 (16.67)
0 | 77 (84.62)
1 | 14 (15.38)

For psc_-psc_total_cat in the 9_month_endpoint_adolescents dataset, the table above shows category frequencies and percentages for the group breakdown.

Domain wise Categorical (gender) - psc_-psc_total_cat
-----------------------------------------------------
Category | Summary
--- | ---
0 | 52 (82.54)
1 | 11 (17.46)
0 | 75 (85.23)
1 | 13 (14.77)

For psc_-psc_total_cat in the 9_month_endpoint_adolescents dataset, the table above shows category frequencies and percentages for the gender breakdown.

Domain wise Categorical (new_group) - psc_-psc_total_cat
--------------------------------------------------------
Category | Summary
--- | ---
0 | 25 (78.12)
1 | 7 (21.88)
0 | 25 (89.29)
1 | 3 (10.71)
0 | 27 (87.10)
1 | 4 (12.90)
0 | 50 (83.33)
1 | 10 (16.67)

For psc_-psc_total_cat in the 9_month_endpoint_adolescents dataset, the table above shows category frequencies and percentages for the new_group breakdown.

9 Month Endpoint Caregivers

Descriptive Statistics (Caregivers Overall)

Overall Continuous (overall)
----------------------------
Variable | Summary
--- | ---
srq_-srq_total | 6.88 [6.00] - 0.00-20.00
apq_-dsm5_total |  [] - -
bbscq_-bbscq_total | 24.63 [4.64] - 5.00-31.00

In the 9_month_endpoint_caregiver dataset, continuous outcomes for overall analyses were summarised by overall. The table above provides N, mean, standard deviation, and range in compact APA style.

Overall Continuous (group)
--------------------------
Variable | Summary
--- | ---
srq_-srq_total | 5.89 [4.97] - 0.00-20.00
srq_-srq_total | 7.58 [6.59] - 0.00-20.00
apq_-dsm5_total |  [] - -
apq_-dsm5_total |  [] - -
bbscq_-bbscq_total | 24.68 [4.69] - 11.00-31.00
bbscq_-bbscq_total | 24.59 [4.65] - 5.00-31.00

In the 9_month_endpoint_caregiver dataset, continuous outcomes for overall analyses were summarised by group. The table above provides N, mean, standard deviation, and range in compact APA style.

Overall Continuous (gender)
---------------------------
Variable | Summary
--- | ---
srq_-srq_total | 7.30 [6.57] - 0.00-20.00
srq_-srq_total | 6.58 [5.60] - 0.00-20.00
apq_-dsm5_total |  [] - -
apq_-dsm5_total |  [] - -
bbscq_-bbscq_total | 24.81 [4.18] - 15.00-31.00
bbscq_-bbscq_total | 24.50 [4.97] - 5.00-31.00

In the 9_month_endpoint_caregiver dataset, continuous outcomes for overall analyses were summarised by gender. The table above provides N, mean, standard deviation, and range in compact APA style.

Overall Continuous (new_group)
------------------------------
Variable | Summary
--- | ---
srq_-srq_total | 6.43 [5.36] - 0.00-20.00
srq_-srq_total | 5.38 [4.62] - 0.00-15.00
srq_-srq_total | 8.12 [7.57] - 0.00-20.00
srq_-srq_total | 7.26 [6.03] - 0.00-20.00
apq_-dsm5_total |  [] - -
apq_-dsm5_total |  [] - -
apq_-dsm5_total |  [] - -
apq_-dsm5_total |  [] - -
bbscq_-bbscq_total | 24.70 [4.44] - 15.00-30.00
bbscq_-bbscq_total | 24.67 [5.01] - 11.00-31.00
bbscq_-bbscq_total | 24.92 [4.02] - 15.00-31.00
bbscq_-bbscq_total | 24.40 [5.01] - 5.00-30.00

In the 9_month_endpoint_caregiver dataset, continuous outcomes for overall analyses were summarised by new_group. The table above provides N, mean, standard deviation, and range in compact APA style.

Domain wise Continuous (overall)
--------------------------------
Variable | Summary
--- | ---
srq_-srq_total | 6.88 [6.00] - 0.00-20.00
apq_-dsm5_total |  [] - -
bbscq_-bbscq_total | 24.63 [4.64] - 5.00-31.00
bbscq_-bbscq_relation | 8.63 [2.53] - 1.00-12.00
bbscq_-bbscq_belonging | 7.42 [1.40] - 1.00-9.00
bbscq_-bbscq_comitment | 3.89 [0.34] - 2.00-4.00
bbscq_-bbscq_participation | 4.68 [1.85] - 0.00-6.00

In the 9_month_endpoint_caregiver dataset, continuous outcomes for domain wise analyses were summarised by overall. The table above provides N, mean, standard deviation, and range in compact APA style.

Domain wise Continuous (group)
------------------------------
Variable | Summary
--- | ---
srq_-srq_total | 5.89 [4.97] - 0.00-20.00
srq_-srq_total | 7.58 [6.59] - 0.00-20.00
apq_-dsm5_total |  [] - -
apq_-dsm5_total |  [] - -
bbscq_-bbscq_total | 24.68 [4.69] - 11.00-31.00
bbscq_-bbscq_total | 24.59 [4.65] - 5.00-31.00
bbscq_-bbscq_relation | 8.43 [2.52] - 2.00-12.00
bbscq_-bbscq_relation | 8.77 [2.54] - 1.00-12.00
bbscq_-bbscq_belonging | 7.23 [1.66] - 2.00-9.00
bbscq_-bbscq_belonging | 7.56 [1.18] - 1.00-9.00
bbscq_-bbscq_comitment | 3.89 [0.37] - 2.00-4.00
bbscq_-bbscq_comitment | 3.89 [0.31] - 3.00-4.00
bbscq_-bbscq_participation | 5.13 [1.50] - 0.00-6.00
bbscq_-bbscq_participation | 4.36 [2.01] - 0.00-6.00

In the 9_month_endpoint_caregiver dataset, continuous outcomes for domain wise analyses were summarised by group. The table above provides N, mean, standard deviation, and range in compact APA style.

Domain wise Continuous (gender)
-------------------------------
Variable | Summary
--- | ---
srq_-srq_total | 7.30 [6.57] - 0.00-20.00
srq_-srq_total | 6.58 [5.60] - 0.00-20.00
apq_-dsm5_total |  [] - -
apq_-dsm5_total |  [] - -
bbscq_-bbscq_total | 24.81 [4.18] - 15.00-31.00
bbscq_-bbscq_total | 24.50 [4.97] - 5.00-31.00
bbscq_-bbscq_relation | 8.96 [2.13] - 3.00-12.00
bbscq_-bbscq_relation | 8.39 [2.77] - 1.00-12.00
bbscq_-bbscq_belonging | 7.38 [1.31] - 2.00-9.00
bbscq_-bbscq_belonging | 7.45 [1.47] - 1.00-9.00
bbscq_-bbscq_comitment | 3.89 [0.31] - 3.00-4.00
bbscq_-bbscq_comitment | 3.89 [0.36] - 2.00-4.00
bbscq_-bbscq_participation | 4.57 [1.96] - 0.00-6.00
bbscq_-bbscq_participation | 4.76 [1.77] - 0.00-6.00

In the 9_month_endpoint_caregiver dataset, continuous outcomes for domain wise analyses were summarised by gender. The table above provides N, mean, standard deviation, and range in compact APA style.

Domain wise Continuous (new_group)
----------------------------------
Variable | Summary
--- | ---
srq_-srq_total | 6.43 [5.36] - 0.00-20.00
srq_-srq_total | 5.38 [4.62] - 0.00-15.00
srq_-srq_total | 8.12 [7.57] - 0.00-20.00
srq_-srq_total | 7.26 [6.03] - 0.00-20.00
apq_-dsm5_total |  [] - -
apq_-dsm5_total |  [] - -
apq_-dsm5_total |  [] - -
apq_-dsm5_total |  [] - -
bbscq_-bbscq_total | 24.70 [4.44] - 15.00-30.00
bbscq_-bbscq_total | 24.67 [5.01] - 11.00-31.00
bbscq_-bbscq_total | 24.92 [4.02] - 15.00-31.00
bbscq_-bbscq_total | 24.40 [5.01] - 5.00-30.00
bbscq_-bbscq_relation | 8.43 [2.27] - 3.00-12.00
bbscq_-bbscq_relation | 8.42 [2.78] - 2.00-12.00
bbscq_-bbscq_relation | 9.46 [1.89] - 4.00-12.00
bbscq_-bbscq_relation | 8.38 [2.79] - 1.00-12.00
bbscq_-bbscq_belonging | 7.22 [1.65] - 2.00-9.00
bbscq_-bbscq_belonging | 7.25 [1.70] - 3.00-9.00
bbscq_-bbscq_belonging | 7.54 [0.88] - 6.00-9.00
bbscq_-bbscq_belonging | 7.57 [1.33] - 1.00-9.00
bbscq_-bbscq_comitment | 3.87 [0.34] - 3.00-4.00
bbscq_-bbscq_comitment | 3.92 [0.41] - 2.00-4.00
bbscq_-bbscq_comitment | 3.92 [0.28] - 3.00-4.00
bbscq_-bbscq_comitment | 3.88 [0.33] - 3.00-4.00
bbscq_-bbscq_participation | 5.17 [1.19] - 2.00-6.00
bbscq_-bbscq_participation | 5.08 [1.77] - 0.00-6.00
bbscq_-bbscq_participation | 4.00 [2.38] - 0.00-6.00
bbscq_-bbscq_participation | 4.57 [1.77] - 0.00-6.00

In the 9_month_endpoint_caregiver dataset, continuous outcomes for domain wise analyses were summarised by new_group. The table above provides N, mean, standard deviation, and range in compact APA style.

Overall Categorical (overall) - cgas_-cgas_response
---------------------------------------------------
Category | Summary
--- | ---
80 | 5 (5.62)
90 | 36 (40.45)
100 | 48 (53.93)

For cgas_-cgas_response in the 9_month_endpoint_caregiver dataset, the table above shows category frequencies and percentages for the overall breakdown.

Overall Categorical (group) - cgas_-cgas_response
-------------------------------------------------
Category | Summary
--- | ---
90 | 10 (27.78)
100 | 26 (72.22)
80 | 5 (9.43)
90 | 26 (49.06)
