form_label,source_file,analysis_set,domain,variable,variable_type,group_by,group_value,n,mean,sd,min,max,min_max
9_month_endpoint_caregiver,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Caregiver)_v1_0.csv,Domain wise,BBSCQ,bbscq_-bbscq_belonging,continuous,new_group,B_Girls,42,7.57,1.33,1.00,9.00,1.00-9.00
9_month_endpoint_caregiver,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Caregiver)_v1_0.csv,Domain wise,BBSCQ,bbscq_-bbscq_comitment,continuous,overall,overall,113,3.89,0.34,2.00,4.00,2.00-4.00
9_month_endpoint_caregiver,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Caregiver)_v1_0.csv,Domain wise,BBSCQ,bbscq_-bbscq_comitment,continuous,group,A,47,3.89,0.37,2.00,4.00,2.00-4.00
9_month_endpoint_caregiver,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Caregiver)_v1_0.csv,Domain wise,BBSCQ,bbscq_-bbscq_comitment,continuous,group,B,66,3.89,0.31,3.00,4.00,3.00-4.00
9_month_endpoint_caregiver,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Caregiver)_v1_0.csv,Domain wise,BBSCQ,bbscq_-bbscq_comitment,continuous,gender,Boys,47,3.89,0.31,3.00,4.00,3.00-4.00
9_month_endpoint_caregiver,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Caregiver)_v1_0.csv,Domain wise,BBSCQ,bbscq_-bbscq_comitment,continuous,gender,Girls,66,3.89,0.36,2.00,4.00,2.00-4.00
9_month_endpoint_caregiver,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Caregiver)_v1_0.csv,Domain wise,BBSCQ,bbscq_-bbscq_comitment,continuous,new_group,A_Boys,23,3.87,0.34,3.00,4.00,3.00-4.00
9_month_endpoint_caregiver,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Caregiver)_v1_0.csv,Domain wise,BBSCQ,bbscq_-bbscq_comitment,continuous,new_group,A_Girls,24,3.92,0.41,2.00,4.00,2.00-4.00
9_month_endpoint_caregiver,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Caregiver)_v1_0.csv,Domain wise,BBSCQ,bbscq_-bbscq_comitment,continuous,new_group,B_Boys,24,3.92,0.28,3.00,4.00,3.00-4.00
9_month_endpoint_caregiver,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Caregiver)_v1_0.csv,Domain wise,BBSCQ,bbscq_-bbscq_comitment,continuous,new_group,B_Girls,42,3.88,0.33,3.00,4.00,3.00-4.00
9_month_endpoint_caregiver,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Caregiver)_v1_0.csv,Domain wise,BBSCQ,bbscq_-bbscq_participation,continuous,overall,overall,113,4.68,1.85,0.00,6.00,0.00-6.00
9_month_endpoint_caregiver,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Caregiver)_v1_0.csv,Domain wise,BBSCQ,bbscq_-bbscq_participation,continuous,group,A,47,5.13,1.50,0.00,6.00,0.00-6.00
9_month_endpoint_caregiver,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Caregiver)_v1_0.csv,Domain wise,BBSCQ,bbscq_-bbscq_participation,continuous,group,B,66,4.36,2.01,0.00,6.00,0.00-6.00
9_month_endpoint_caregiver,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Caregiver)_v1_0.csv,Domain wise,BBSCQ,bbscq_-bbscq_participation,continuous,gender,Boys,47,4.57,1.96,0.00,6.00,0.00-6.00
9_month_endpoint_caregiver,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Caregiver)_v1_0.csv,Domain wise,BBSCQ,bbscq_-bbscq_participation,continuous,gender,Girls,66,4.76,1.77,0.00,6.00,0.00-6.00
9_month_endpoint_caregiver,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Caregiver)_v1_0.csv,Domain wise,BBSCQ,bbscq_-bbscq_participation,continuous,new_group,A_Boys,23,5.17,1.19,2.00,6.00,2.00-6.00
9_month_endpoint_caregiver,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Caregiver)_v1_0.csv,Domain wise,BBSCQ,bbscq_-bbscq_participation,continuous,new_group,A_Girls,24,5.08,1.77,0.00,6.00,0.00-6.00
9_month_endpoint_caregiver,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Caregiver)_v1_0.csv,Domain wise,BBSCQ,bbscq_-bbscq_participation,continuous,new_group,B_Boys,24,4.00,2.38,0.00,6.00,0.00-6.00
9_month_endpoint_caregiver,data/SMART_STEP_9_Month_Endpoint_Assessment_Pack_(Caregiver)_v1_0.csv,Domain wise,BBSCQ,bbscq_-bbscq_participation,continuous,new_group,B_Girls,42,4.57,1.77,0.00,6.00,0.00-6.00
