analysis_set,domain,variable,variable_type,group_by,group_value,category,n,freq,percentage
Overall,Overall,cgas_-cgas_response,categorical,new_group,B_Girls,90,150,82,54.67
Overall,Overall,cgas_-cgas_response,categorical,new_group,B_Girls,100,150,49,32.67
Domain wise,PHQ9,phq9a_-phq9a_total_cat_bin,categorical,overall,overall,0,593,311,52.45
Domain wise,PHQ9,phq9a_-phq9a_total_cat_bin,categorical,overall,overall,1,593,282,47.55
Domain wise,PHQ9,phq9a_-phq9a_total_cat_bin,categorical,group,A,0,298,141,47.32
Domain wise,PHQ9,phq9a_-phq9a_total_cat_bin,categorical,group,A,1,298,157,52.68
Domain wise,PHQ9,phq9a_-phq9a_total_cat_bin,categorical,group,B,0,295,170,57.63
Domain wise,PHQ9,phq9a_-phq9a_total_cat_bin,categorical,group,B,1,295,125,42.37
Domain wise,PHQ9,phq9a_-phq9a_total_cat_bin,categorical,gender,Boys,0,295,173,58.64
Domain wise,PHQ9,phq9a_-phq9a_total_cat_bin,categorical,gender,Boys,1,295,122,41.36
Domain wise,PHQ9,phq9a_-phq9a_total_cat_bin,categorical,gender,Girls,0,298,138,46.31
